region,kommune,kommune_kode,afstemningsområde,afstemningsområde_dagi_id,frigivelsestidspunkt,godkendelsestidspunkt,resultat_art,total_gyldige_stemmer,total_afgivne_stemmer,kandidat,kandidat_id,parti,parti_id,parti_bogstav,stemmer
Midtjylland,Syddjurs Kommune,706,Mols,703350,2025-11-18 23:16:41,,Fintælling,2428,2543,"Claus Græsholm, Hedensted",0c6820d5-2e07-4f2b-8d31-e49c9bc86a2f,Enhedslisten - De Rød-Grønne,bb6cfd0e-d249-48cb-a6ae-ad1b305b892c,Ø,0
Midtjylland,Syddjurs Kommune,706,Mols,703350,2025-11-18 23:16:41,,Fintælling,2428,2543,"Thake Fogh Cordt, Favrskov",0262b931-24df-4013-bf06-af96ee6c1175,Enhedslisten - De Rød-Grønne,bb6cfd0e-d249-48cb-a6ae-ad1b305b892c,Ø,1
Midtjylland,Syddjurs Kommune,706,Mols,703350,2025-11-18 23:16:41,,Fintælling,2428,2543,"Ove Abildgaard, Beder",f5cb6880-6204-4e8f-8c76-4bf4a3217544,Enhedslisten - De Rød-Grønne,bb6cfd0e-d249-48cb-a6ae-ad1b305b892c,Ø,0
Midtjylland,Syddjurs Kommune,706,Mols,703350,2025-11-18 23:16:41,,Fintælling,2428,2543,"Kristjar Skajaa, Malling",ae22e570-6387-4d16-bb1e-2b64de8b2a65,Enhedslisten - De Rød-Grønne,bb6cfd0e-d249-48cb-a6ae-ad1b305b892c,Ø,5
Midtjylland,Syddjurs Kommune,706,Mols,703350,2025-11-18 23:16:41,,Fintælling,2428,2543,"Lars Dohn, Herning",4ce69c4d-ad8a-40b5-80bf-80094dac0824,Enhedslisten - De Rød-Grønne,bb6cfd0e-d249-48cb-a6ae-ad1b305b892c,Ø,0
Midtjylland,Syddjurs Kommune,706,Mols,703350,2025-11-18 23:16:41,,Fintælling,2428,2543,"Per Guldbrandsen, Århus",e44b2bb8-b60b-447b-ba0e-c6e22651e8ec,Enhedslisten - De Rød-Grønne,bb6cfd0e-d249-48cb-a6ae-ad1b305b892c,Ø,0
Midtjylland,Syddjurs Kommune,706,Mols,703350,2025-11-18 23:16:41,,Fintælling,2428,2543,"Aksel Rosager Johansen, Viborg",ed3be981-ac23-44f7-9863-e6c66a3b63cf,Enhedslisten - De Rød-Grønne,bb6cfd0e-d249-48cb-a6ae-ad1b305b892c,Ø,0
Midtjylland,Syddjurs Kommune,706,Mols,703350,2025-11-18 23:16:41,,Fintælling,2428,2543,"Dennis Munk Lionett, Randers",96d029f6-74ea-4a44-8319-03ddf659d802,Enhedslisten - De Rød-Grønne,bb6cfd0e-d249-48cb-a6ae-ad1b305b892c,Ø,0
Midtjylland,Syddjurs Kommune,706,Mols,703350,2025-11-18 23:16:41,,Fintælling,2428,2543,"Agnethe Clemmensen, Herning",3f748005-62b7-482f-9e83-3141cea0337f,Enhedslisten - De Rød-Grønne,bb6cfd0e-d249-48cb-a6ae-ad1b305b892c,Ø,7
Midtjylland,Syddjurs Kommune,706,Mols,703350,2025-11-18 23:16:41,,Fintælling,2428,2543,"Klavs Bryld, Grenaa",2bc93c41-280e-4669-8dea-f48f3966f7b0,Enhedslisten - De Rød-Grønne,bb6cfd0e-d249-48cb-a6ae-ad1b305b892c,Ø,3
Midtjylland,Syddjurs Kommune,706,Mols,703350,2025-11-18 23:16:41,,Fintælling,2428,2543,"Else Kayser, Århus",63dd05e6-a9df-4ca2-8d77-c39da5ca8ee3,Enhedslisten - De Rød-Grønne,bb6cfd0e-d249-48cb-a6ae-ad1b305b892c,Ø,32
Midtjylland,Syddjurs Kommune,706,Mols,703350,2025-11-18 23:16:41,,Fintælling,2428,2543,"Henning Bo Madsen, Ringkøbing",cfebbd6b-ec5b-47ca-868c-302b0ae2ead5,Enhedslisten - De Rød-Grønne,bb6cfd0e-d249-48cb-a6ae-ad1b305b892c,Ø,0
Midtjylland,Syddjurs Kommune,706,Mols,703350,2025-11-18 23:16:41,,Fintælling,2428,2543,"Jette Manthey Søgaard, Samsø",1ddad611-ed9e-47c1-94d7-0b6fc073ba88,Enhedslisten - De Rød-Grønne,bb6cfd0e-d249-48cb-a6ae-ad1b305b892c,Ø,1
Midtjylland,Syddjurs Kommune,706,Mols,703350,2025-11-18 23:16:41,,Fintælling,2428,2543,"Kim Ries Jensen, Lemvig",540b6724-f764-4086-a98f-7959fe592548,Enhedslisten - De Rød-Grønne,bb6cfd0e-d249-48cb-a6ae-ad1b305b892c,Ø,0
Midtjylland,Syddjurs Kommune,706,Mols,703350,2025-11-18 23:16:41,,Fintælling,2428,2543,"Jørgen Madsen, Silkeborg",e71af1ba-32a9-416a-8026-c54c7a42d64d,Enhedslisten - De Rød-Grønne,bb6cfd0e-d249-48cb-a6ae-ad1b305b892c,Ø,0
Midtjylland,Syddjurs Kommune,706,Mols,703350,2025-11-18 23:16:41,,Fintælling,2428,2543,"Henrik Qvist, Skanderborg",cfb06318-4350-43e3-9c9b-14fee5eff75a,Enhedslisten - De Rød-Grønne,bb6cfd0e-d249-48cb-a6ae-ad1b305b892c,Ø,0
Midtjylland,Syddjurs Kommune,706,Mols,703350,2025-11-18 23:16:41,,Fintælling,2428,2543,"Helle Nørgaard Lundsby, Skive",c9a1f311-54d2-4f9f-96fb-e6e62fe662cd,Enhedslisten - De Rød-Grønne,bb6cfd0e-d249-48cb-a6ae-ad1b305b892c,Ø,1
Midtjylland,Syddjurs Kommune,706,Mols,703350,2025-11-18 23:16:41,,Fintælling,2428,2543,"Christina Hedegaard Hansen, Horsens",8df02281-31cd-43ee-93c5-c2fbc08eecd0,Enhedslisten - De Rød-Grønne,bb6cfd0e-d249-48cb-a6ae-ad1b305b892c,Ø,2
Midtjylland,Syddjurs Kommune,706,Mols,703350,2025-11-18 23:16:41,,Fintælling,2428,2543,"Randi Lund Jepsen, Syddjurs",2767e897-1771-46c6-8269-4737c30454f3,Enhedslisten - De Rød-Grønne,bb6cfd0e-d249-48cb-a6ae-ad1b305b892c,Ø,33
Midtjylland,Syddjurs Kommune,706,Mols,703350,2025-11-18 23:16:41,,Fintælling,2428,2543,"Esther Daugaard, Århus",8c5cc9e1-4c64-459e-ba87-54bae62797ca,Enhedslisten - De Rød-Grønne,bb6cfd0e-d249-48cb-a6ae-ad1b305b892c,Ø,2
Midtjylland,Syddjurs Kommune,706,Mols,703350,2025-11-18 23:16:41,,Fintælling,2428,2543,"Jens Lindved, Århus",4fc27677-d053-4dcc-9eb0-515ca6c30672,Enhedslisten - De Rød-Grønne,bb6cfd0e-d249-48cb-a6ae-ad1b305b892c,Ø,1
Midtjylland,Syddjurs Kommune,706,Mols,703350,2025-11-18 23:16:41,,Fintælling,2428,2543,"Marianne Bentsen, Holstebro",6a635be2-d4d3-449c-9c7b-bf573341b0b4,Enhedslisten - De Rød-Grønne,bb6cfd0e-d249-48cb-a6ae-ad1b305b892c,Ø,0
Midtjylland,Syddjurs Kommune,706,Mols,703350,2025-11-18 23:16:41,,Fintælling,2428,2543,"Leif Gjørtz, Odder",a4c4a4e0-c0f7-4a6d-893b-75d857a6c212,Enhedslisten - De Rød-Grønne,bb6cfd0e-d249-48cb-a6ae-ad1b305b892c,Ø,0
Midtjylland,Syddjurs Kommune,706,Mols,703350,2025-11-18 23:16:41,,Fintælling,2428,2543,"Søren Thomsen, Silkeborg",b5468417-bb5f-4ea3-9247-840dda6a395b,Enhedslisten - De Rød-Grønne,bb6cfd0e-d249-48cb-a6ae-ad1b305b892c,Ø,1
Midtjylland,Syddjurs Kommune,706,Mols,703350,2025-11-18 23:16:41,,Fintælling,2428,2543,"Jan Sylvest Andersen, Aarhus",f5fa9e4a-70dd-4ea8-9d73-65c3d97b9afb,Folkelisten for fred og velfærd,31674cdc-2843-40b3-8a40-5fa0753de3e0,R,3
Midtjylland,Syddjurs Kommune,706,Mols,703350,2025-11-18 23:16:41,,Fintælling,2428,2543,"Johannes Pilgaard, Struer",2f0e941e-fe6b-429f-8c0b-ad883008f9c7,Folkelisten for fred og velfærd,31674cdc-2843-40b3-8a40-5fa0753de3e0,R,0
Midtjylland,Syddjurs Kommune,706,Mols,703350,2025-11-18 23:16:41,,Fintælling,2428,2543,"Per Nielsen, Aarhus",bd6235ca-8dd7-4f1b-aa59-6b79cd4a7083,Folkelisten for fred og velfærd,31674cdc-2843-40b3-8a40-5fa0753de3e0,R,0
Midtjylland,Syddjurs Kommune,706,Mols,703350,2025-11-18 23:16:41,,Fintælling,2428,2543,"Sie Grubbe, Ry",dce26cc2-1326-456d-b080-a401082a48c3,Folkelisten for fred og velfærd,31674cdc-2843-40b3-8a40-5fa0753de3e0,R,0
Midtjylland,Syddjurs Kommune,706,Mols,703350,2025-11-18 23:16:41,,Fintælling,2428,2543,"Henrik Stamer Hedin, Ry",5db71fe7-4f16-495c-9de8-05746e8e5882,Folkelisten for fred og velfærd,31674cdc-2843-40b3-8a40-5fa0753de3e0,R,1
Midtjylland,Syddjurs Kommune,706,Mols,703350,2025-11-18 23:16:41,,Fintælling,2428,2543,"Heidi Rud, Herning",b2641d47-da8e-499b-b43e-065273a8973f,Folkelisten for fred og velfærd,31674cdc-2843-40b3-8a40-5fa0753de3e0,R,1
Midtjylland,Syddjurs Kommune,706,Mols,703350,2025-11-18 23:16:41,,Fintælling,2428,2543,"Jacob Olesen, Herning",334ba18b-a188-4c52-966a-c3f172a51d8c,Folkelisten for fred og velfærd,31674cdc-2843-40b3-8a40-5fa0753de3e0,R,1
Midtjylland,Syddjurs Kommune,706,Mols,703350,2025-11-18 23:16:41,,Fintælling,2428,2543,"Emil Boost, Aarhus",498f8c04-064d-4776-b12b-9cae8f017504,Folkelisten for fred og velfærd,31674cdc-2843-40b3-8a40-5fa0753de3e0,R,1
Midtjylland,Syddjurs Kommune,706,Mols,703350,2025-11-18 23:16:41,,Fintælling,2428,2543,"Per Møller Jacobsen, Herning",d4151e1f-6439-496b-bdfb-b49790a2073c,Folkelisten for fred og velfærd,31674cdc-2843-40b3-8a40-5fa0753de3e0,R,1
Midtjylland,Syddjurs Kommune,706,Mols,703350,2025-11-18 23:16:41,,Fintælling,2428,2543,"Karina Dammand, Aarhus",c2df40ab-1474-4a63-b775-446d331d8e8b,Folkelisten for fred og velfærd,31674cdc-2843-40b3-8a40-5fa0753de3e0,R,0
Midtjylland,Syddjurs Kommune,706,Mols,703350,2025-11-18 23:16:41,,Fintælling,2428,2543,"Tommy Christensen, Struer",12aac8a7-8bba-4db6-89fa-8778aa1bca82,Folkelisten for fred og velfærd,31674cdc-2843-40b3-8a40-5fa0753de3e0,R,0
Midtjylland,Syddjurs Kommune,706,Mols,703350,2025-11-18 23:16:41,,Fintælling,2428,2543,"Inge Høgh, Silkeborg",b8b9c3a4-2467-452e-b855-fd044630ce7c,Folkelisten for fred og velfærd,31674cdc-2843-40b3-8a40-5fa0753de3e0,R,0
Midtjylland,Syddjurs Kommune,706,Mols,703350,2025-11-18 23:16:41,,Fintælling,2428,2543,Mette Nielsen,d4587a00-8658-4a09-bcb7-30cc53a36a1e,Velfærdsdemokraterne,b13fd0c4-2e9d-43eb-8165-b79f6c21d217,Y,0
Midtjylland,Syddjurs Kommune,706,Mols,703350,2025-11-18 23:16:41,,Fintælling,2428,2543,Rikke Cramer Christiansen,e9696643-822a-4914-82a7-fe6e2b0c907f,Velfærdsdemokraterne,b13fd0c4-2e9d-43eb-8165-b79f6c21d217,Y,0
Midtjylland,Syddjurs Kommune,706,Mols,703350,2025-11-18 23:16:41,,Fintælling,2428,2543,Birthe Harritz,ef42954f-ddfa-4338-8409-d0c0c323d76f,Velfærdsdemokraterne,b13fd0c4-2e9d-43eb-8165-b79f6c21d217,Y,1
Midtjylland,Syddjurs Kommune,706,Mols,703350,2025-11-18 23:16:41,,Fintælling,2428,2543,Katrine Johanne Ørnebjerg Larsen,b584c694-0324-4d39-bd0d-dfe29e06f67c,Velfærdsdemokraterne,b13fd0c4-2e9d-43eb-8165-b79f6c21d217,Y,0
Midtjylland,Syddjurs Kommune,706,Mols,703350,2025-11-18 23:16:41,,Fintælling,2428,2543,"Steffen Søgaard, Randers",8d96df47-f3e5-4866-80dd-55eb10107071,SF - Socialistisk Folkeparti,2d10753b-eb67-4f05-bec0-c52fde0104dc,F,0
Midtjylland,Syddjurs Kommune,706,Mols,703350,2025-11-18 23:16:41,,Fintælling,2428,2543,"Naja Kallesøe, Silkeborg",01f36042-eaca-423d-a544-654eb03e075b,SF - Socialistisk Folkeparti,2d10753b-eb67-4f05-bec0-c52fde0104dc,F,6
Midtjylland,Syddjurs Kommune,706,Mols,703350,2025-11-18 23:16:41,,Fintælling,2428,2543,"Søren Norlander, Randers",25efcac6-b6dd-4264-a862-7af9ecae06a3,SF - Socialistisk Folkeparti,2d10753b-eb67-4f05-bec0-c52fde0104dc,F,2
Midtjylland,Syddjurs Kommune,706,Mols,703350,2025-11-18 23:16:41,,Fintælling,2428,2543,"Ulrik Rasmussen, Syddjurs Kommune",a0ef9f62-7fbc-4f88-a1b7-5752201971ac,SF - Socialistisk Folkeparti,2d10753b-eb67-4f05-bec0-c52fde0104dc,F,62
